Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,UNH,XOM
2021-08-31,148.63763427734375,173.5395050048828,143.7063446044922,153.96038818359375,143.14511108398438,292.1062316894531,128.01280212402344,245.24000549316406,389.0635986328125,47.08076477050781
2021-09-30,138.52481079101562,164.2519989013672,132.7603302001953,143.61807250976562,146.49217224121094,272.79248046875,125.68434143066406,258.49334716796875,366.4839782714844,50.79401397705078
2021-10-31,146.65032958984375,168.6215057373047,147.03192138671875,144.84530639648438,152.9569854736328,320.8833312988281,129.3491668701172,371.3333435058594,431.8853759765625,55.6730842590332
2021-11-30,162.0606231689453,175.35350036621094,140.92552185058594,139.5731201171875,142.9993133544922,320.4719543457031,130.78746032714844,381.586669921875,416.64410400390625,52.369319915771484
2021-12-31,174.0901641845703,166.7169952392578,143.8597869873047,153.12493896484375,142.56712341308594,326.02655029296875,147.97491455078125,352.260009765625,472.50469970703125,53.55078125
2022-01-31,171.3548126220703,149.57350158691406,134.37669372558594,154.21694946289062,134.59088134765625,301.462158203125,145.9272003173828,312.239990234375,444.6798095703125,66.47682189941406
2022-02-28,162.0903778076172,153.56300354003906,134.13186645507812,148.2523651123047,128.4319610595703,290.244140625,141.7799072265625,290.1433410644531,447.7850341796875,69.3905258178711
2022-03-31,171.40625,162.99749755859375,138.1149139404297,159.65707397460938,123.46859741210938,299.4918518066406,138.9696044921875,359.20001220703125,481.29254150390625,73.08039855957031
2022-04-30,154.7574462890625,124.28150177001953,113.32786560058594,162.56678771972656,108.9087905883789,269.58251953125,146.83734130859375,290.2533264160156,479.9524230957031,75.43412780761719
2022-05-31,146.32376098632812,120.20950317382812,112.98275756835938,162.7682342529297,120.65188598632812,264.7091369628906,135.24948120117188,252.75332641601562,468.8443298339844,85.81645965576172
2022-06-30,134.4086456298828,106.20999908447266,108.21662139892578,160.93685913085938,102.74982452392578,250.06527709960938,131.50881958007812,224.47332763671875,486.47552490234375,76.55543518066406
2022-07-31,159.76263427734375,134.9499969482422,115.5232162475586,158.22601318359375,106.19012451171875,273.3454895019531,127.87040710449219,297.1499938964844,513.6676025390625,86.64781188964844
2022-08-31,154.7768096923828,126.7699966430664,107.47871398925781,147.25941467285156,104.68968200683594,255.1234130859375,126.97747039794922,275.6099853515625,491.8741455078125,86.28020477294922
2022-09-30,136.0523681640625,113.0,94.99481201171875,149.10311889648438,96.19336700439453,227.24693298339844,116.21652221679688,265.25,479.8404846191406,78.8066177368164
2022-10-31,150.9570770263672,102.44000244140625,93.86262512207031,158.78717041015625,116.91059875488281,226.49560546875,124.84713745117188,227.5399932861328,527.4502563476562,100.01786804199219
2022-11-30,145.97134399414062,96.54000091552734,100.29823303222656,163.5140838623047,128.3341827392578,249.64869689941406,138.28024291992188,194.6999969482422,520.4290161132812,101.30528259277344
2022-12-31,128.12306213378906,84.0,87.62564086914062,162.27394104003906,124.54490661621094,234.65841674804688,140.5051727294922,123.18000030517578,505.2789611816406,100.35901641845703
2023-01-31,142.28335571289062,103.12999725341797,98.16295623779297,150.12063598632812,130.9475555419922,242.4764404296875,132.82302856445312,173.22000122070312,475.7444763183594,105.55438995361328
2023-02-28,145.58189392089844,94.2300033569336,89.44309997558594,141.80007934570312,134.11924743652344,244.66307067871094,128.32656860351562,205.7100067138672,453.5864562988281,100.77368927001953
2023-03-31,162.85498046875,103.29000091552734,103.01947784423828,143.40997314453125,121.91891479492188,282.801513671875,138.70950317382812,207.4600067138672,451.9979553222656,100.54446411132812
2023-04-30,167.57569885253906,105.44999694824219,106.604736328125,151.4594268798828,130.35333251953125,301.3999938964844,146.79666137695312,164.30999755859375,470.6483154296875,108.50293731689453
2023-05-31,175.29396057128906,120.58000183105469,122.02835845947266,144.54791259765625,127.96768951416016,322.83111572265625,133.76724243164062,203.92999267578125,466.0096130371094,94.49919891357422
2023-06-30,191.82948303222656,130.36000061035156,118.88007354736328,154.29879760742188,137.14256286621094,334.7755432128906,142.4410400390625,261.7699890136719,461.58428955078125,99.18809509277344
2023-07-31,194.2821044921875,133.67999267578125,131.81089782714844,156.1725311279297,149.97125244140625,330.2336730957031,147.64599609375,267.42999267578125,486.2941589355469,99.1788330078125
2023-08-31,186.0476531982422,138.00999450683594,135.23724365234375,151.8134307861328,138.9293975830078,322.8940124511719,145.79454040527344,258.0799865722656,457.6852111816406,103.67488098144531
2023-09-30,169.54928588867188,127.12000274658203,129.963623046875,146.2452850341797,137.68565368652344,311.0622863769531,137.78407287597656,250.22000122070312,486.0856018066406,109.63298797607422
2023-10-31,169.11354064941406,133.08999633789062,123.2300796508789,139.28749084472656,133.00131225585938,333.0903625488281,142.61769104003906,200.83999633789062,516.3291625976562,98.69578552246094
2023-11-30,188.35531616210938,146.08999633789062,131.6221923828125,146.38475036621094,149.27972412109375,374.04229736328125,145.9352569580078,240.0800018310547,533.1139526367188,96.67198181152344
2023-12-31,190.9136505126953,151.94000244140625,138.733154296875,148.3534698486328,162.6889190673828,371.2091369628906,139.30010986328125,248.47999572753906,509.2969970703125,94.07500457763672
